customer_id,legitimate_count,fraudulent_count,Transportation,Food,Fashion,Leisure,Health,Home
'C1000148617',130.0,1.0,114.0,5.0,0.0,0.0,2.0,1.0
'C100045114',104.0,5.0,65.0,4.0,1.0,0.0,10.0,2.0
'C1000699316',94.0,0.0,80.0,6.0,0.0,0.0,1.0,0.0
'C1001065306',19.0,11.0,0.0,0.0,1.0,0.0,16.0,1.0
'C1002658784',131.0,0.0,108.0,3.0,2.0,0.0,3.0,1.0
'C1002759277',164.0,0.0,147.0,5.0,2.0,0.0,0.0,0.0
'C1004109477',162.0,0.0,140.0,6.0,3.0,0.0,3.0,1.0
'C1004300450',179.0,0.0,152.0,4.0,1.0,0.0,3.0,0.0
'C1004532392',82.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
'C1005126300',178.0,0.0,155.0,13.0,4.0,0.0,3.0,0.0
'C1005495267',177.0,0.0,156.0,10.0,1.0,0.0,5.0,2.0
'C1005806982',21.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0
'C1006176917',169.0,0.0,152.0,2.0,4.0,0.0,3.0,0.0
'C1007572087',147.0,3.0,131.0,1.0,1.0,0.0,2.0,0.0
'C1007790716',167.0,0.0,152.0,10.0,2.0,0.0,1.0,0.0
'C1008918174',95.0,0.0,73.0,5.0,1.0,0.0,3.0,2.0
'C1009080922',170.0,0.0,153.0,11.0,0.0,0.0,1.0,1.0
'C100992504',176.0,0.0,150.0,12.0,1.0,0.0,9.0,0.0
'C10105795',169.0,0.0,140.0,10.0,4.0,0.0,5.0,1.0
'C1010589026',171.0,0.0,142.0,13.0,1.0,0.0,11.0,0.0
'C1010865894',172.0,0.0,146.0,11.0,2.0,0.0,3.0,0.0
'C1010936270',165.0,1.0,143.0,2.0,0.0,0.0,0.0,0.0
'C1011693897',171.0,0.0,153.0,4.0,0.0,0.0,1.0,0.0
'C1012876398',16.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0
'C1013199152',133.0,1.0,105.0,13.0,1.0,0.0,6.0,1.0
'C1013313546',160.0,4.0,126.0,5.0,5.0,0.0,7.0,2.0
'C1014010834',178.0,0.0,147.0,17.0,4.0,0.0,5.0,0.0
'C1014124305',165.0,0.0,152.0,1.0,0.0,0.0,1.0,1.0
'C1014313887',163.0,2.0,151.0,0.0,1.0,0.0,1.0,0.0
'C1014347664',166.0,8.0,151.0,7.0,1.0,1.0,1.0,0.0
'C1014783484',74.0,0.0,65.0,6.0,1.0,0.0,0.0,0.0
'C1014847580',167.0,0.0,141.0,12.0,8.0,0.0,0.0,2.0
'C1017469037',163.0,0.0,145.0,0.0,1.0,0.0,1.0,0.0
'C1017941602',140.0,2.0,122.0,5.0,2.0,0.0,7.0,1.0
'C1018153896',142.0,2.0,134.0,0.0,0.0,2.0,1.0,1.0
'C1018388493',170.0,0.0,147.0,10.0,0.0,0.0,5.0,0.0
'C1018653381',144.0,0.0,114.0,10.0,1.0,0.0,11.0,0.0
'C1018783569',131.0,1.0,107.0,6.0,0.0,0.0,8.0,1.0
'C1018979501',97.0,1.0,72.0,9.0,2.0,0.0,5.0,0.0
'C1019071188',119.0,1.0,98.0,8.0,6.0,0.0,3.0,0.0
'C1019678929',111.0,1.0,97.0,4.0,2.0,0.0,1.0,0.0
'C1020019215',23.0,2.0,2.0,0.0,3.0,0.0,15.0,0.0
'C102010508',171.0,1.0,148.0,10.0,2.0,0.0,3.0,0.0
'C1020192133',119.0,0.0,94.0,5.0,6.0,0.0,3.0,0.0
'C1020355960',158.0,0.0,139.0,13.0,1.0,0.0,1.0,0.0
'C1021409246',172.0,0.0,154.0,2.0,1.0,0.0,3.0,0.0
'C1021896897',26.0,7.0,14.0,0.0,2.0,0.0,4.0,0.0
'C1022153336',175.0,0.0,150.0,8.0,3.0,0.0,7.0,1.0
'C1022530210',169.0,7.0,156.0,2.0,1.0,0.0,1.0,0.0
'C102256008',98.0,0.0,71.0,8.0,2.0,0.0,6.0,2.0
'C1022713215',159.0,3.0,139.0,5.0,0.0,0.0,3.0,0.0
'C102364766',154.0,3.0,137.0,2.0,4.0,2.0,0.0,0.0
'C1023694383',112.0,1.0,95.0,5.0,2.0,1.0,1.0,1.0
